int_rate,s_int_rate,dti,s_dti,loan_amnt,s_loan_amnt,installment,s_installment,annual_inc,s_annual_inc,default
18.49,1.1423483264269554,8.62,-0.47023194985895234,30000.0,1.597659579928332,769.83,1.181565483803085,300000.0,4.269929677222223,1
23.13,2.1024690274139473,28.53,0.41473465689091743,16225.0,0.11544983741150158,458.61,0.03434481795562562,63000.0,-0.28349233052604245,0
14.85,0.38915019030785025,12.88,-0.2808819877919284,12050.0,-0.33378614625512393,416.84,-0.11962795761293815,85000.0,0.1391881933999568,1
10.78,-0.4530246487044463,21.96,0.12270901116783134,25000.0,1.0596524138605168,540.83,0.3374245787228582,60000.0,-0.3411305837886787,0
15.77,0.5795189499863055,25.38,0.274722360996287,30000.0,1.597659579928332,725.89,1.0195936437628002,85000.0,0.1391881933999568,1
9.8,-0.6558087622749744,12.08,-0.3164406661143742,22000.0,0.7368481142198279,707.82,0.9529839225628017,80000.0,0.043124437962229686,0
16.59,0.7491954531779722,15.22,-0.17687285369877448,15000.0,-0.016361918275113095,531.74,0.3039169768574465,67000.0,-0.20664132617586078,0
7.49,-1.1337998871197914,7.98,-0.4986788925169089,24500.0,1.0058516972537355,761.99,1.1526656379697706,79000.0,0.023911686874684267,0
5.32,-1.5828218528831044,23.56,0.19382636781272283,10000.0,-0.5543690843429281,301.15,-0.5460849938956082,49000.0,-0.5524708457516784,0
10.78,-0.4530246487044463,18.47,-0.03241572301383853,15000.0,-0.016361918275113095,489.52,0.14828540911732774,90000.0,0.23525194883768388,0
13.44,0.09738937384413081,23.33,0.18360324779501963,35000.0,2.1356667459961467,1186.72,2.7183074135799217,180000.0,1.9643995467167719,0
16.59,0.7491954531779722,10.96,-0.3662228157657983,2500.0,-1.3613798334446505,88.63,-1.329477243448664,30000.0,-0.9175131164150413,0
10.78,-0.4530246487044463,21.13,0.08581688240829374,2100.0,-1.4044204067300758,68.54,-1.4035330983965317,28000.0,-0.9559386185901322,0
13.44,0.09738937384413081,10.48,-0.3875580227592658,1600.0,-1.4582211233368572,54.26,-1.4561721033072115,52000.0,-0.4948325924890421,0
